Agents: 1, Dirt: 1, Obstacles: 1, Steps: 22, Total Movements: 22
Agents: 1, Dirt: 1, Obstacles: 2, Steps: 22, Total Movements: 22
Agents: 1, Dirt: 1, Obstacles: 3, Steps: 61, Total Movements: 61
Agents: 1, Dirt: 1, Obstacles: 4, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 1, Obstacles: 5, Steps: 30, Total Movements: 30
Agents: 1, Dirt: 1, Obstacles: 6, Steps: 60, Total Movements: 60
Agents: 1, Dirt: 1, Obstacles: 7, Steps: 22, Total Movements: 22
Agents: 1, Dirt: 1, Obstacles: 8, Steps: 12, Total Movements: 12
Agents: 1, Dirt: 1, Obstacles: 9, Steps: 45, Total Movements: 45
Agents: 1, Dirt: 1, Obstacles: 10, Steps: 9, Total Movements: 9
Agents: 1, Dirt: 1, Obstacles: 11, Steps: 31, Total Movements: 31
Agents: 1, Dirt: 1, Obstacles: 12, Steps: 64, Total Movements: 64
Agents: 1, Dirt: 1, Obstacles: 13, Steps: 13, Total Movements: 13
Agents: 1, Dirt: 1, Obstacles: 14, Steps: 110, Total Movements: 110
Agents: 1, Dirt: 1, Obstacles: 15, Steps: 41, Total Movements: 41
Agents: 1, Dirt: 1, Obstacles: 16, Steps: 44, Total Movements: 44
Agents: 1, Dirt: 1, Obstacles: 17, Steps: 2, Total Movements: 2
Agents: 1, Dirt: 1, Obstacles: 18, Steps: 59, Total Movements: 59
Agents: 1, Dirt: 1, Obstacles: 19, Steps: 18, Total Movements: 18
Agents: 1, Dirt: 1, Obstacles: 20, Steps: 73, Total Movements: 73
Agents: 1, Dirt: 2, Obstacles: 1, Steps: 73, Total Movements: 73
Agents: 1, Dirt: 2, Obstacles: 2, Steps: 36, Total Movements: 36
Agents: 1, Dirt: 2, Obstacles: 3, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 2, Obstacles: 4, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 2, Obstacles: 5, Steps: 57, Total Movements: 57
Agents: 1, Dirt: 2, Obstacles: 6, Steps: 78, Total Movements: 78
Agents: 1, Dirt: 2, Obstacles: 7, Steps: 77, Total Movements: 77
Agents: 1, Dirt: 2, Obstacles: 8, Steps: 25, Total Movements: 25
Agents: 1, Dirt: 2, Obstacles: 9, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 2, Obstacles: 10, Steps: 70, Total Movements: 70
Agents: 1, Dirt: 2, Obstacles: 11, Steps: 64, Total Movements: 64
Agents: 1, Dirt: 2, Obstacles: 12, Steps: 23, Total Movements: 23
Agents: 1, Dirt: 2, Obstacles: 13, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 2, Obstacles: 14, Steps: 24, Total Movements: 24
Agents: 1, Dirt: 2, Obstacles: 15, Steps: 50, Total Movements: 50
Agents: 1, Dirt: 2, Obstacles: 16, Steps: 30, Total Movements: 30
Agents: 1, Dirt: 2, Obstacles: 17, Steps: 43, Total Movements: 43
Agents: 1, Dirt: 2, Obstacles: 18, Steps: 162, Total Movements: 162
Agents: 1, Dirt: 2, Obstacles: 19, Steps: 38, Total Movements: 38
Agents: 1, Dirt: 2, Obstacles: 20, Steps: 35, Total Movements: 35
Agents: 1, Dirt: 3, Obstacles: 1, Steps: 77, Total Movements: 77
Agents: 1, Dirt: 3, Obstacles: 2, Steps: 38, Total Movements: 38
Agents: 1, Dirt: 3, Obstacles: 3, Steps: 111, Total Movements: 111
Agents: 1, Dirt: 3, Obstacles: 4, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 3, Obstacles: 5, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 3, Obstacles: 6, Steps: 51, Total Movements: 51
Agents: 1, Dirt: 3, Obstacles: 7, Steps: 59, Total Movements: 59
Agents: 1, Dirt: 3, Obstacles: 8, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 3, Obstacles: 9, Steps: 49, Total Movements: 49
Agents: 1, Dirt: 3, Obstacles: 10, Steps: 72, Total Movements: 72
Agents: 1, Dirt: 3, Obstacles: 11, Steps: 92, Total Movements: 92
Agents: 1, Dirt: 3, Obstacles: 12, Steps: 94, Total Movements: 94
Agents: 1, Dirt: 3, Obstacles: 13, Steps: 55, Total Movements: 55
Agents: 1, Dirt: 3, Obstacles: 14, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 3, Obstacles: 15, Steps: 41, Total Movements: 41
Agents: 1, Dirt: 3, Obstacles: 16, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 3, Obstacles: 17, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 3, Obstacles: 18, Steps: 70, Total Movements: 70
Agents: 1, Dirt: 3, Obstacles: 19, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 3, Obstacles: 20, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 4, Obstacles: 1, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 4, Obstacles: 2, Steps: 55, Total Movements: 55
Agents: 1, Dirt: 4, Obstacles: 3, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 4, Obstacles: 4, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 4, Obstacles: 5, Steps: 67, Total Movements: 67
Agents: 1, Dirt: 4, Obstacles: 6, Steps: 105, Total Movements: 105
Agents: 1, Dirt: 4, Obstacles: 7, Steps: 91, Total Movements: 91
Agents: 1, Dirt: 4, Obstacles: 8, Steps: 79, Total Movements: 79
Agents: 1, Dirt: 4, Obstacles: 9, Steps: 72, Total Movements: 72
Agents: 1, Dirt: 4, Obstacles: 10, Steps: 70, Total Movements: 70
Agents: 1, Dirt: 4, Obstacles: 11, Steps: 88, Total Movements: 88
Agents: 1, Dirt: 4, Obstacles: 12, Steps: 82, Total Movements: 82
Agents: 1, Dirt: 4, Obstacles: 13, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 4, Obstacles: 14, Steps: 96, Total Movements: 96
Agents: 1, Dirt: 4, Obstacles: 15, Steps: 53, Total Movements: 53
Agents: 1, Dirt: 4, Obstacles: 16, Steps: 79, Total Movements: 79
Agents: 1, Dirt: 4, Obstacles: 17, Steps: 65, Total Movements: 65
Agents: 1, Dirt: 4, Obstacles: 18, Steps: 41, Total Movements: 41
Agents: 1, Dirt: 4, Obstacles: 19, Steps: 79, Total Movements: 79
Agents: 1, Dirt: 4, Obstacles: 20, Steps: 30, Total Movements: 30
Agents: 1, Dirt: 5, Obstacles: 1, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 5, Obstacles: 2, Steps: 119, Total Movements: 119
Agents: 1, Dirt: 5, Obstacles: 3, Steps: 134, Total Movements: 134
Agents: 1, Dirt: 5, Obstacles: 4, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 5, Obstacles: 5, Steps: 102, Total Movements: 102
Agents: 1, Dirt: 5, Obstacles: 6, Steps: 110, Total Movements: 110
Agents: 1, Dirt: 5, Obstacles: 7, Steps: 68, Total Movements: 68
Agents: 1, Dirt: 5, Obstacles: 8, Steps: 60, Total Movements: 60
Agents: 1, Dirt: 5, Obstacles: 9, Steps: 66, Total Movements: 66
Agents: 1, Dirt: 5, Obstacles: 10, Steps: 63, Total Movements: 63
Agents: 1, Dirt: 5, Obstacles: 11, Steps: 75, Total Movements: 75
Agents: 1, Dirt: 5, Obstacles: 12, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 5, Obstacles: 13, Steps: 71, Total Movements: 71
Agents: 1, Dirt: 5, Obstacles: 14, Steps: 151, Total Movements: 151
Agents: 1, Dirt: 5, Obstacles: 15, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 5, Obstacles: 16, Steps: 140, Total Movements: 140
Agents: 1, Dirt: 5, Obstacles: 17, Steps: 90, Total Movements: 90
Agents: 1, Dirt: 5, Obstacles: 18, Steps: 250, Total Movements: 250
Agents: 1, Dirt: 5, Obstacles: 19, Steps: 45, Total Movements: 45
Agents: 1, Dirt: 5, Obstacles: 20, Steps: 109, Total Movements: 109
Agents: 1, Dirt: 6, Obstacles: 1, Steps: 174, Total Movements: 174
Agents: 1, Dirt: 6, Obstacles: 2, Steps: 95, Total Movements: 95
Agents: 1, Dirt: 6, Obstacles: 3, Steps: 89, Total Movements: 89
Agents: 1, Dirt: 6, Obstacles: 4, Steps: 108, Total Movements: 108
Agents: 1, Dirt: 6, Obstacles: 5, Steps: 99, Total Movements: 99
Agents: 1, Dirt: 6, Obstacles: 6, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 6, Obstacles: 7, Steps: 74, Total Movements: 74
Agents: 1, Dirt: 6, Obstacles: 8, Steps: 83, Total Movements: 83
Agents: 1, Dirt: 6, Obstacles: 9, Steps: 81, Total Movements: 81
Agents: 1, Dirt: 6, Obstacles: 10, Steps: 85, Total Movements: 85
Agents: 1, Dirt: 6, Obstacles: 11, Steps: 93, Total Movements: 93
Agents: 1, Dirt: 6, Obstacles: 12, Steps: 131, Total Movements: 131
Agents: 1, Dirt: 6, Obstacles: 13, Steps: 84, Total Movements: 84
Agents: 1, Dirt: 6, Obstacles: 14, Steps: 122, Total Movements: 122
Agents: 1, Dirt: 6, Obstacles: 15, Steps: 189, Total Movements: 189
Agents: 1, Dirt: 6, Obstacles: 16, Steps: 101, Total Movements: 101
Agents: 1, Dirt: 6, Obstacles: 17, Steps: 58, Total Movements: 58
Agents: 1, Dirt: 6, Obstacles: 18, Steps: 171, Total Movements: 171
Agents: 1, Dirt: 6, Obstacles: 19, Steps: 91, Total Movements: 91
